Country,population,id
Albania,3000,ALB
Australia,39800,AUS
Austria,261000,AUT
Belgium,12100,BEL
Bulgaria,22000,BGR
Brazil,1000,BRA
Canada,45400,CAN
China,4000000,CHN
Czechoslovakia,25000,CZE
Germany,5533000,DEU
Denmark,2100,DNK
Ethiopia,5000,ETH
Finland,95000,FIN
France,217600,FRA
United Kingdom,383600,GBR
Greece,35000,GRC
Hungary,300000,HUN
India,87000,IND
Italy,301400,ITA
Japan,2120000,JPN
Korea,0,KOR
Latvia,0,LVA
Malaya,0,MYS
Netherlands,17000,NLD
Norway,3000,NOR
New Zealand,11900,NZL
Philippines,57000,PHL
Poland,240000,POL
Rumania,300000,ROU
Soviet Union,10700000,RUS
Singapore,0,SGP
United States,416800,USA
South Africa,11900,ZAF
