Country,Total Mobilized Forces,Military Killed,Military Wounded,Prisoners and Missing,Total Military Casualties,Total Civilian Casualties,Holocast,Not Holocast,Total War Casualties ,Casualties as % of Forces
Austria-Hungary,7800000,1200000,3620000,2200000,7020000,403700,315000,88700,7423700,90
Belgium,267000,13716,44686,34659,93061,74000,,74000,167061,34.9
British Empire,8904467,908371,2090212,191652,3190235,67100,,67100,3257335,35.8
Bulgaria,1200000,87500,152390,27029,266919,51000,48000,3000,317919,22.2
France,8410000,1357800,4266000,537000,6160800,350000,65000,285000,6510800,73.3
Germany,11000000,1773700,4216058,1152800,7142558,2167000,165000,2002000,9309558,64.9
Greece,230000,5000,21000,1000,27000,522500,65000,457500,549500,11.7
Italy,5615000,650000,947000,600000,2197000,155600,,155600,2352600,39.1
Japan,800000,300,907,3,1210,730000,,730000,731210,0.2
Montenegro,50000,3000,10000,7000,20000,,,0,20000,40
Portugal,100000,7222,13751,12318,33291,40000,,40000,73291,33.3
Romania,750000,335706,120000,80000,535706,533000,35000,498000,1068706,71.4
Russia,12000000,1700000,4950000,2500000,9150000,14250000,1000000,13250000,23400000,76.3
Serbia,707343,45000,133148,152958,331106,,,0,331106,46.8
Turkey,2850000,325000,400000,250000,975000,,,0,975000,34.2
United States,4355000,116516,204002,4500,323018,1700,,1700,324718,7.1
